objectid,filename,originalfile,title,type,species,varieties,features,accessory,identifier,altitudeid,date,description,season,subject,location,latitude,longitude,imagetype,format,language,creator,rights,rightsstatement
coll035,IMG_4224_73_CN_Calv_2020.png,,Cumulonimbus ,Cumulonimbus ,Calvus,,,,,Multiple,2020,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll036,IMG_4248_74_CN_Calv_2020.png,,Cumulonimbus ,Cumulonimbus ,Calvus,,,,,Multiple,2020,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll037,IMG_9071_50_Cirrus_2020.png,,Cirrus,Cirrus,,,,,,High,2020,"Detached clouds in the form of white, delicate filaments or white or mostly white patches or narrow bands. These clouds have a fibrous (hair-like) appearance, or a silky sheen, or both.",Winter (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll038,IMG_9095_51_Stratucumulus_2020.png,,Stratocumulus,Stratocumulus,,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll039,IMG_9364_37_Cirrustratus_2020.png,,Cirrustratus,Cirrustratus,,,,,,High,2020,"Transparent, whitish cloud veil of fibrous (hair-like) or smooth appearance, totally or partly covering the sky, often producing halo phenomena.",Winter (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll040,IMG_9402_38_Cirrustratus_2020.png,,Cirrustratus,Cirrustratus,,,,,,High,2020,"Transparent, whitish cloud veil of fibrous (hair-like) or smooth appearance, totally or partly covering the sky, often producing halo phenomena.",Winter (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll041,IMG_9468_39_Stratocumulus_Virga_2020.png,,Stratocumulus,Stratocumulus,,,Virga,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll042,IMG_9819_40_Altocumulus_2020.png,,Altocumulus,Altocumulus,,,,,,Middle,2020,"White or grey, or both white and grey, patch, sheet or layer of cloud, generally with shading, composed of laminae, rounded masses, rolls, etc., which are sometimes partly fibrous or diffuse and which may or may not be merged; most of the regularly arranged small elements usually have an apparent width between 1° and 5°.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll043,IMG_9859_41_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll044,IMG_9996_52_Cirrucumulus_2020.png,,Cirrocumulus,Cirrocumulus,,,,,,High,2020,"Thin, white patch, sheet or layer of cloud without shading, composed of very small elements in the form of grains, ripples, etc., merged or separate, and more or less regularly arranged; most of the elements have an apparent width of less than 1°.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll045,IMGP1981_42_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll046,IMGP1982_43_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll047,IMGP1983_44_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll048,IMGP1993_45_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll049,IMGP1994_46_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll050,IMGP1995_47_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll051,IMGP1998_48_C_Hum_2020.png,,Cumulus,Cumulus,Humilis,,,,,Low,2020,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower. The sunlit parts of these clouds are mostly brilliant white; their base is relatively dark and nearly horizontal.",Summer (Tropical region),,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll052,IMGP2333_49_Cirrus_Spissatus_2020.png,,Cirrus,Cirrus,Spisatus,,,,,High,2020,"Detached clouds in the form of white, delicate filaments or white or mostly white patches or narrow bands. These clouds have a fibrous (hair-like) appearance, or a silky sheen, or both.",Winter (Tropical region),,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll053,IMGP3419_53_CN_Calv_2020.png,,Cumulonimbus,Cumulonimbus,Calvus,,,,,Multiple,2020,"Heavy and dense cloud, with a considerable vertical extent, in the form of a mountain or huge towers. At least part of its upper portion is usually smooth, or fibrous or striated, and nearly always flattened; this part often spreads out in the shape of an anvil or vast plume.",Summer (Tropical region),,"Guadalajara Jalisco, México",20.659698,-103.349609,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
