objectid,filename,type,species,features,altitudid,varieties,description,season,date,subject,location,latitude,longitude,identifier,type,format,language,creator,rights,rightsstatement
coll040,cumulos/cumulo_7.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-22,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll041,cumulos/cumulo_8.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-23,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll042,cumulos/cumulo_9.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-24,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll043,cumulos/cumulo_10.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-25,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll044,cumulos/cumulo_11.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-26,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll045,cumulos/cumulo_12.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-27,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll046,cumulos/cumulo_13.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-28,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll047,cumulos/cumulo_14.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-29,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll048,cumulos/cumulo_15.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-30,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
coll049,cumulos/cumulo_16.png,Cumulus,,,L,,"Detached clouds, generally dense and with sharp outlines, developing vertically in the form of rising mounds, domes or towers, of which the bulging upper part often resembles a cauliflower.",N/A,2023-01-31,Meteorology,"Guadalajara Jalisco, México",20.659698,-103.349609,,Image; StillImage,image/png,eng,Leobardo Óscar Alcántara Ocaña,All rights reserved,http://rightsstatements.org/vocab/InC/1.0/
